"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.17933855507996e-72,1.43039744306366,0.948,0.657,3.53859201188332e-68,"Cyto_4","CXCL12"
2.26245163819371e-49,0.865798114033694,0.581,0.213,3.67354272493512e-45,"Cyto_4","CCL13"
3.31256274808777e-47,-0.874552676746705,0.633,0.86,5.37860813407011e-43,"Cyto_4","CCL5"
6.06076793913224e-39,0.384370342260604,0.398,0.112,9.84086890276902e-35,"Cyto_4","IL11RA"
4.7770106308076e-38,1.02077277401003,0.955,0.752,7.7564321612423e-34,"Cyto_4","CCL19"
9.97188703588086e-36,-0.612873119996338,0.844,0.914,1.61913529801598e-31,"Cyto_4","IL2RG"
5.17851849436478e-34,-0.711377148262067,0.585,0.875,8.4083604793001e-30,"Cyto_4","CCL18"
3.07250743303187e-33,0.426345546994083,0.488,0.187,4.98883031901385e-29,"Cyto_4","IL33"
1.35988549802051e-29,0.476244991590976,0.81,0.509,2.2080460831359e-25,"Cyto_4","IL6ST"
4.2122583691667e-29,-0.587209946133064,0.394,0.71,6.83944391401597e-25,"Cyto_4","IL2RB"
8.14179385656219e-27,0.31252507115521,0.37,0.127,1.32198306849e-22,"Cyto_4","TNFAIP1"
1.02043399470819e-26,-0.531078600677942,0.024,0.337,1.65687867720769e-22,"Cyto_4","CXCL13"
1.23603123558592e-17,-0.409693199253959,0.571,0.766,2.00694391722086e-13,"Cyto_4","IL4I1"
1.05240886260391e-16,0.261200399324526,0.256,0.093,1.70879627020997e-12,"Cyto_4","TNFRSF19"
2.89546202133595e-15,-0.345033590205914,0.156,0.387,4.70136168404318e-11,"Cyto_4","IL2RA"
7.30291381778369e-15,0.296770213319172,0.263,0.106,1.18577411659354e-10,"Cyto_4","CCL27"
8.94020188824281e-15,-0.356231712612855,0.301,0.526,1.45162058059399e-10,"Cyto_4","CXCR3"
1.08016991531516e-14,-0.360531273165965,0.329,0.571,1.75387189149723e-10,"Cyto_4","IL3RA"
4.01943817622896e-14,-0.311648506300053,0.042,0.234,6.52636176674297e-10,"Cyto_4","IFNG"
1.28134356888253e-12,-0.322015055351883,0.391,0.59,2.08051755279457e-08,"Cyto_4","IL21R"
2.23659321075775e-12,0.296975222458082,0.678,0.499,3.63155639630736e-08,"Cyto_4","TNFRSF1A"
5.76678705479082e-12,-0.337558988402705,0.436,0.616,9.36353214086385e-08,"Cyto_4","CXCR4"
1.02419133124262e-11,-0.383078192323402,0.408,0.575,1.66297946453864e-07,"Cyto_4","TNF"
1.1918700436763e-10,-0.315920576157802,0.827,0.897,1.9352393899172e-06,"Cyto_4","TNFAIP2"
1.20351289682363e-10,-0.430922197555878,0.308,0.501,1.95414389057253e-06,"Cyto_4","CXCL11"
6.80186107919149e-10,-0.295523717648084,0.99,0.978,1.10441818342832e-05,"Cyto_4","IL32"
4.48681256666211e-09,-0.27343313012957,0.339,0.502,7.28523756448927e-05,"Cyto_4","TNFSF13"
5.45331340147236e-09,-0.272465216388649,0.651,0.743,8.85454496997067e-05,"Cyto_4","TNFRSF1B"
9.8153919768333e-08,-0.511724957937358,0.145,0.279,0.00159372519527842,"Cyto_4","CXCL10"
2.70567986009899e-05,-0.251712707964846,0.647,0.703,0.439321238884273,"Cyto_4","IL7R"
2.72332501641798e-53,-2.83006557690199,0.523,0.965,4.42186282915787e-49,"Cyto_5","CXCL9"
1.16950521763077e-51,-1.65364125755306,0.234,0.937,1.89892562186709e-47,"Cyto_5","IL2RG"
9.33022883483754e-49,-1.59685907595126,0.664,0.994,1.51494925591257e-44,"Cyto_5","IL32"
5.40746428982904e-47,-1.67188573328666,0.14,0.865,8.78009976739541e-43,"Cyto_5","CCL5"
9.22715757170498e-36,-1.74131358164361,0.234,0.868,1.49821357491774e-31,"Cyto_5","CCL18"
2.02261081763232e-28,-1.09136071267846,0.206,0.768,3.28411318458959e-24,"Cyto_5","IL4I1"
