"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.32542052853868e-48,0.600555303402555,0.748,0.508,8.64688531218826e-44,"1","KLRK1"
6.93505375601108e-48,0.389898935656566,1,1,1.12604467836352e-43,"1","TMSB4X"
8.05170840152028e-48,0.474640150119507,0.674,0.38,1.30735589315485e-43,"1","CCDC88C"
1.51214637423359e-47,0.478986353075537,0.805,0.561,2.45527206784308e-43,"1","PGGHG"
1.72904584616911e-47,0.567838475281511,0.997,0.967,2.80745174042478e-43,"1","CORO1A"
3.48188053059759e-47,0.488909846005441,0.631,0.339,5.65352941753131e-43,"1","SAMD3"
3.79996861410689e-47,0.454017954090744,0.5,0.214,6.17000903872536e-43,"1","LEF1"
4.08629564458377e-47,0.440390312433261,0.623,0.324,6.63491823811067e-43,"1","PDE7A"
4.17031440472576e-47,0.615322187170567,0.932,0.799,6.77133949895322e-43,"1","TRBC1"
2.247359293904e-46,0.450792656787692,0.762,0.48,3.64903728551192e-42,"1","BIN2"
2.47407222522873e-46,0.699484470251445,0.45,0.182,4.01715107210388e-42,"1","VWF"
4.28305565223727e-46,0.47050390453154,0.866,0.67,6.95439746253766e-42,"1","CARD8"
5.93915319462376e-46,0.532909871879737,0.467,0.186,9.6434030421106e-42,"1","MCAM"
1.00183371824051e-45,0.462578103286991,0.598,0.306,1.62667740830712e-41,"1","TC2N"
1.27693472952007e-45,0.78763330139314,0.793,0.575,2.07335892032173e-41,"1","A2M"
1.38219139052878e-45,0.513491535830357,0.29,0.072,2.24426416080158e-41,"1","CCL14"
2.93687457878614e-45,0.451415663363802,0.566,0.277,4.76860325357505e-41,"1","TCF7"
3.22315690647505e-45,0.621159562595558,0.815,0.642,5.23343986904354e-41,"1","DGKA"
3.75920038745459e-45,0.481001790157481,0.877,0.685,6.10381366911002e-41,"1","STK10"
4.62877891001409e-45,0.452461445466102,0.874,0.689,7.51574831618987e-41,"1","SELPLG"
4.71979481795644e-45,0.348521919021916,0.283,0.068,7.66353084591587e-41,"1","TINAGL1"
4.82502530295637e-45,0.506740725773072,0.684,0.407,7.83439358441025e-41,"1","TRAJ18"
6.69256527268223e-45,0.404454260838101,0.988,0.971,1.08667182332541e-40,"1","FUS"
1.09326694802355e-44,0.370154790668229,0.52,0.225,1.77513754350584e-40,"1","TNRC6C"
1.26394603081303e-44,0.522005282564491,0.417,0.156,2.05226917023112e-40,"1","NIBAN3"
1.61717463484944e-44,0.43584231532172,0.646,0.357,2.62580645460503e-40,"1","RASAL3"
2.4793117418967e-44,0.399450637394285,0.281,0.07,4.02565847531767e-40,"1","TSPAN7"
3.40965048619867e-44,0.478769501653901,0.659,0.381,5.53624949444077e-40,"1","GIMAP7"
4.54074556063867e-44,0.487778150271722,0.934,0.837,7.372808566809e-40,"1","SUN2"
1.08045680494558e-43,0.591463988602666,0.904,0.781,1.75433771419015e-39,"1","SPOCK2"
1.42665872061915e-43,0.627836499692831,0.97,0.903,2.31646576466931e-39,"1","LTB"
1.6455542278397e-43,0.557850991169587,0.5,0.224,2.67188639974332e-39,"1","CLEC4C"
2.1839758952519e-43,0.434600787059195,0.748,0.481,3.5461216611205e-39,"1","RABGAP1L"
1.56294990554588e-42,0.532985473715553,0.921,0.768,2.53776176163484e-38,"1","FYB1"
