"gene","corr_estimate","pvalue"
"TNFRSF19",-0.158641155321986,3.36442343618364e-114
"ADAM15",-0.158445105663206,6.42234728230893e-114
"POF1B",-0.15799073607553,2.86447852806242e-113
"ERBB3",-0.1577307683402,6.72502796249146e-113
"KRT18",-0.157421382594052,1.85339239165862e-112
"PLPP2",-0.157264935274845,3.09211890855685e-112
"EMP1",-0.15699613719757,7.44112882456919e-112
"ACTG2",-0.156837294025961,1.24937150295717e-111
"IRF6",-0.156682688737841,2.06781221159755e-111
"HSPG2",-0.156570476051705,2.97981362535915e-111
"TLE2",-0.156454999820503,4.33868230346721e-111
"IL20RB",-0.156252478529057,8.37949363270956e-111
"DSC1",-0.15608518320488,1.44232767078431e-110
"CD34",-0.155685875524406,5.25924881546278e-110
"CITED4",-0.155578180300872,7.4507904288102e-110
"HOPX",-0.155444002555621,1.14954939418729e-109
"NTRK2",-0.1552696463958,2.0183272471307e-109
"FKBP9",-0.155105416205425,3.42764360793788e-109
"SORBS1",-0.154740191997733,1.11065597698314e-108
"ARHGEF4",-0.154497545680361,2.42160882810479e-108
"BNIPL",-0.154142120576416,7.56777431129316e-108
"TNS4",-0.154132991377521,7.79225616690473e-108
"PROM2",-0.154103914821413,8.5524747283763e-108
"KCNK5",-0.153560434566178,4.85613569250093e-107
"APP",-0.153493272264347,6.01589419060519e-107
"ITGB4",-0.153356686745713,9.29648801538235e-107
"PLPP3",-0.152653369977501,8.68656367204072e-106
"PSAPL1",-0.152541115063075,1.23971332257414e-105
"PDLIM4",-0.152512662862512,1.3566109615858e-105
"ATP1A1",-0.152274766004513,2.87983814326617e-105
"SFRP1",-0.152188356456048,3.78423774413008e-105
"EPHX1",-0.151721507671869,1.65038481744309e-104
"EFNA3",-0.15168255375552,1.86578435850264e-104
"STAC2",-0.151626613084096,2.22507703670977e-104
"AKR1C2",-0.151625678863023,2.23162950327704e-104
"ESRP1",-0.151615058844232,2.30748377578769e-104
"RAB3D",-0.151019590978331,1.4975825841522e-103
"CNN1",-0.150921014979001,2.03954174973178e-103
"ELOVL4",-0.150893587497503,2.2224887449784e-103
"ELN",-0.150669834167927,4.47636775662859e-103
"ITIH5",-0.150526681890729,7.00207067425617e-103
"FGFR3",-0.150352233544311,1.20710553494903e-102
"ACAP3",-0.150234670057358,1.7417177160074e-102
"RHOB",-0.150134184979332,2.38218661938203e-102
"TJP1",-0.149925315913548,4.56414059299015e-102
"C1orf21",-0.149831106873719,6.11775578911981e-102
"FSTL1",-0.149744864230885,7.99821891146274e-102
"THEM5",-0.149716912976739,8.72376463909931e-102
"NSG1",-0.149382046694977,2.46559295205812e-101
"CAV2",-0.149230511468216,3.94241743168499e-101
"PARD3",-0.149190289149698,4.46511287959573e-101
"DDR1",-0.1489449991259,9.53325327223252e-101
"EGFR",-0.148831288401636,1.3544278853637e-100
"MAL2",-0.148645234311119,2.40458350841379e-100
"HSPB6",-0.148498606687719,3.77806785733894e-100
