"gene","corr_estimate","pvalue"
"ADPGK",0.12655287948688,4.89039126591143e-73
"ZFYVE28",0.126363156625591,8.02232597372976e-73
"ZC3H12A",0.126256787093509,1.05845540398134e-72
"MMP12",0.126117851821252,1.51964067535565e-72
"COX17",0.126112986030022,1.538999719663e-72
"COX8A",0.126093762146268,1.61791828776861e-72
"FMNL2",0.125960284256487,2.28906735914257e-72
"LTA4H",0.125915520931549,2.57135193572595e-72
"CD80",0.125829226443676,3.21713174352318e-72
"CD226",0.125755102832492,3.89939659493552e-72
"CD69",0.125751436601619,3.93665637039417e-72
"GALM",0.125684546103041,4.68230396779846e-72
"IGLC1",0.12567109064192,4.84850870733977e-72
"RBM38",0.125671021087035,4.84938296593031e-72
"IL6R",0.125473153485892,8.09579890198352e-72
"GOLM1",0.125428292600595,9.0922604755318e-72
"EGR2",0.125308009448217,1.24093232536604e-71
"TRAJ5",0.125256005112804,1.41940734801677e-71
"FOXN2",0.125240823767202,1.47617816852171e-71
"SUMO3",0.125032111525295,2.52973679632309e-71
"TESPA1",0.124844614285092,4.10101844290289e-71
"COL15A1",0.124821318297868,4.35449952179651e-71
"RAB8B",0.124748662735555,5.24976880608132e-71
"ARPC5L",0.124621923094478,7.27230326282258e-71
"PSMA7",0.124612803591836,7.44475070453886e-71
"RB1",0.124515578424138,9.55684734869904e-71
"ESYT1",0.124500541517913,9.93303775041995e-71
"FAP",0.124401888693481,1.27949011920444e-70
"TRAJ17",0.124374686306306,1.37195545797204e-70
"ST3GAL5",0.124334070052052,1.52255609198224e-70
"MATK",0.12432743319964,1.54868522658643e-70
"GNA13",0.124326657051857,1.55176994741112e-70
"PLAU",0.124268182479063,1.80267902308395e-70
"SLC16A3",0.124238205005009,1.94659547529434e-70
"GSAP",0.124170985281766,2.31229999103068e-70
"SRSF2",0.124099846759842,2.77412706493891e-70
"AKAP17A",0.124080888460927,2.91201614728052e-70
"KLRC4",0.12405780861452,3.08913458322749e-70
"SP110",0.124056883426237,3.09645423419797e-70
"UBE2A",0.124003857868677,3.5461750621658e-70
"NPL",0.123928594571944,4.29843964660523e-70
"WDR81",0.123322166944294,2.01658482504238e-69
"CST3",0.123287922971422,2.20000356020809e-69
"REX1BD",0.122972709462808,4.89697768635947e-69
"ARHGAP15",0.122507370918566,1.58954077359353e-68
"HIST1H2BD",0.12250150296528,1.61327007153984e-68
"PTPRJ",0.122433462366456,1.91559805038078e-68
"LRPAP1",0.122305889819762,2.64274978588571e-68
"GPNMB",0.122274462832068,2.86062157252876e-68
"DAXX",0.122115520058876,4.26896578029959e-68
"GLRX5",0.122112983485199,4.29630862167538e-68
"TRMT112",0.122089794131448,4.55450988063653e-68
"HIST1H2BI",0.122035669847408,5.21892212671189e-68
"HDAC1",0.121962486384197,6.27339167552729e-68
"COPG1",0.121779817849518,9.92602612546109e-68
